"caseid","casestr","year","config","veh_no","veh_year","veh_make","veh_model","veh_wt","veh_plane","veh_severity","front_ab","edr_cdc","edr_deploy","edr_speed","edr_dV_long","event_no","sw_deploy"
"773016052","2013-41-016","2013","Angle/sideswipe",1,2011,"FORD","CROWN VICTORIA","1900","Left Side","Moderate","Not deployed","Event# 1 10LFEW02","Non Deployment",NA,-0.66,1,"Not deployed"
"773016093","2013-41-024","2013","Head-on",1,2004,"CADILLAC","SRX","1951","Front","Moderate","Not deployed","Event# 1 12FYEW01","Non Deployment",20,-6.51,1,"Not deployed"
"773016111","2013-41-025","2013","Angle/sideswipe",1,2012,"TOYOTA","COROLLA","1255","Right Side","Moderate","Not deployed","Event# 1 01RYEW03","Deployment",21,-12,1,"Not deployed"
"773016111","2013-41-025","2013","Angle/sideswipe",2,2007,"TOYOTA","YARIS","1050","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 11FZEW02","Deployment",24,-26.2,1,"Deployed"
"773016113","2013-41-027","2013","Rear end",1,2013,"TOYOTA","COROLLA","1255","Front","Moderate","Not deployed","Event# 1 12FLEE03","Non Deployment",17,-11.2,1,"Not deployed"
"773016792","2013-41-137","2013","Rear end",1,2012,"CADILLAC","CTS","1751","Front","Minor","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",30,-6.8,1,"Deployed"
"773016811","2013-41-139","2013","Angle/sideswipe",2,2012,"JEEP / KAISER-JEEP","LIBERTY","1872","Front","Unknown","Deployed during crash (as a result of impact)","Event# 1 12FZEW01","Deployment",36,-14.8,1,"Deployed"
"735015896","2013-06-007","2013","Angle/sideswipe",2,2012,"TOYOTA","PRIUS","1485","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FLEE06","Deployment",40,-3.9,1,"Deployed"
"837017294","2013-76-165","2013","Angle/sideswipe",1,2013,"FORD","F-SERIES PICKUP","2429","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW02","Deployment",52,-21.75,1,"Deployed"
"837017294","2013-76-165","2013","Angle/sideswipe",2,2013,"FORD","F-SERIES PICKUP","2390","Left Side","Moderate","Not deployed","Event# 1 11LZEW03","Deployment",22,-11.54,1,"Not deployed"
"837017295","2013-76-166","2013","Angle/sideswipe",2,2008,"CHEVROLET","UPLANDER","2073","Left Side","Minor","Deployed during crash (as a result of impact)","Event# 1 11LFEW02","Deployment",19,-6.14,1,"Deployed"
"520016872","2013-49-062","2013","Angle/sideswipe",3,2004,"CHEVROLET","IMPALA/CAPRICE","1555","Front","Moderate","Deployed during crash (as a result of impact)","Event# 3 06BLEE06","Non Deployment",56,-10.23,3,"Deployed"
"520016872","2013-49-062","2013","Angle/sideswipe",4,2013,"FORD","FIESTA","1169","Front","Moderate","Not deployed","Event# 3 12FRAE07","Deployment",68,-26.18,3,"Not deployed"
"520016913","2013-49-069","2013","Angle/sideswipe",2,2010,"FORD","FLEX","2073","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",34,-8.87,1,"Deployed"
"520016951","2013-49-072","2013","Rear end",2,2009,"TOYOTA","CAMRY","1538","Back","Moderate","Deployed during crash (as a result of impact)","Event# 1 06BYEW06","Non Deployment",0,-13,1,"Deployed"
"520016953","2013-49-074","2013","Angle/sideswipe",2,2005,"CHEVROLET","IMPALA/CAPRICE","1604","Front","Severe","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",7,-26.97,1,"Deployed"
"520016972","2013-49-076","2013","Head-on",1,2013,"CHEVROLET","EQUINOX","1759","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FZEW02","Deployment",16,-16.8,1,"Deployed"
"520016973","2013-49-077","2013","Angle/sideswipe",2,2012,"TOYOTA","CAMRY","1492","Front","Moderate","Not deployed","Event# 2 12FDEW01","Non Deployment",35,-2.7,2,"Not deployed"
"520017071","2013-49-088","2013","Object off road",1,2006,"BUICK","LACROSSE","1585","Front","Severe","Deployed during crash (as a result of impact)","Event# 2 12FZEN03","Deployment",27,-29.4,2,"Deployed"
"735016076","2013-06-027","2013","Angle/sideswipe",1,2008,"CHEVROLET","IMPALA/CAPRICE","1630","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",38,-12.83,1,"Deployed"
"735016461","2013-06-082","2013","Angle/sideswipe",2,2013,"FORD","EDGE","1852","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW01","Deployment",42,-20.49,1,"Deployed"
"773015953","2013-41-002","2013","Angle/sideswipe",2,2011,"TOYOTA","SCION XB (< 2012)","1373","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FREE01","Deployment",36,-9.3,1,"Deployed"
"895016740","2013-45-062","2013","Object off road",1,2006,"TOYOTA","SCION TC (< 2012)","1318","Front","Severe","Deployed during crash (as a result of impact)","Event# 1 21FDEW03","Deployment",NA,-31.4,1,"Deployed"
"895016841","2013-45-079","2013","Head-on",2,2006,"CHEVROLET","C, K, R, V-SERIES PICKUP","2541","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW04","Deployment",39,-14.26,1,"Deployed"
"932016605","2013-08-092","2013","Rear end",1,2012,"CHEVROLET","MALIBU (1997+)","1551","Front","Minor","Not deployed","Event# 1 99F99999","Non Deployment",30,-10.84,1,"Not deployed"
"773016191","2013-41-037","2013","Angle/sideswipe",2,2012,"MAZDA","MAZDA3","1304","Front","Moderate","Deployed during crash (as a result of impact)","Event# 2 12F99999","Non Deployment",43,-27,2,"Deployed"
"773016193","2013-41-039","2013","Object off road",1,2009,"TOYOTA","MATRIX","1290","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 02FDEW02","Deployment",15,-26,1,"Deployed"
"773016851","2013-41-145","2013","Angle/sideswipe",2,2014,"LEXUS","IS-250/300/350/500","1680","Front","Unknown","Not deployed","Event# 3 02RZEW01","Deployment",37,-8.9,3,"Not deployed"
"773016972","2013-41-163","2013","Angle/sideswipe",2,2005,"CHEVROLET","IMPALA/CAPRICE","1572","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FZEW01","Deployment",37,-10.23,1,"Deployed"
"830015802","2013-05-104","2013","Angle/sideswipe",1,2007,"TOYOTA","RAV-4","1562","Top","Severe","Not deployed","Event# 3 00TBLO04","Non Deployment",45,-5.6,3,"Not deployed"
"830015841","2013-05-109","2013","Rollover",1,2004,"FORD","THUNDERBIRD (ALL SIZES)","1715","Front","Moderate","Not deployed","Event# 1 12FREN01","Non Deployment",NA,-4.49,1,"Not deployed"
"520017091","2013-49-091","2013","Head-on",2,2010,"CHEVROLET","TRAVERSE ('09-'12)","2186","Front","Moderate","Not deployed","Event# 1 12FREE06","Non Deployment",26,-5,1,"Not deployed"
"554017232","2013-49-111","2013","Angle/sideswipe",1,2011,"TOYOTA","CAMRY","1525","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW01","Deployment",15,-10.3,1,"Deployed"
"554017471","2013-49-131","2013","Rear end",1,2011,"FORD","FUSION","1561","Front","Moderate","Deployed during crash (as a result of impact)","Event# 2 01FDEW01","Deployment",29,-16.39,2,"Deployed"
"554017472","2013-49-132","2013","Angle/sideswipe",1,2009,"TOYOTA","CAMRY","1538","Right Side","Severe","Deployed during crash (as a result of impact)","Event# 1 01RYAW04","Deployment",30,-36.6,1,"Deployed"
"688017102","2013-74-045","2013","Angle/sideswipe",1,2009,"TOYOTA","CAMRY","1537","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 11FYEW01","Deployment",0,-19.5,1,"Deployed"
"688017103","2013-74-046","2013","Angle/sideswipe",3,2008,"BUICK","ENCLAVE (< 2013)","2307","Front","Unknown","Not deployed","Event# 2 99F99999","Non Deployment",9,-5.7,2,"Not deployed"
"688017182","2013-74-058","2013","Angle/sideswipe",1,2011,"TOYOTA","CAMRY","1525","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FZEW01","Deployment",3,-12.2,1,"Deployed"
"688017302","2013-74-069","2013","Angle/sideswipe",2,2006,"FORD","F-SERIES PICKUP","3033","Front","Moderate","Not deployed","Event# 1 12FDEW01","Non Deployment",NA,-7.87,1,"Not deployed"
"689017263","2013-74-066","2013","Angle/sideswipe",1,2011,"TOYOTA","COROLLA","1315","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 11FDEW01","Deployment",37,-13.8,1,"Deployed"
"540016334","2013-04-096","2013","Angle/sideswipe",2,2012,"CHEVROLET","CRUZE","1407","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 11FDEW01","Deployment",NA,-23,1,"Deployed"
"540016356","2013-04-102","2013","Head-on",1,2010,"FORD","F-SERIES PICKUP","2330","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 11FYEW02","Deployment",24,-15.32,1,"Deployed"
"540016395","2013-04-108","2013","Rear end",1,2005,"BUICK","CENTURY","1528","Front","Moderate","Not deployed","Event# 1 12FDEW01","Non Deployment",24,-17.55,1,"Not deployed"
"548018760","2013-13-099","2013","Head-on",2,2006,"CHEVROLET","C, K, R, V-SERIES PICKUP","2575","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW02","Deployment",NA,-21.7,1,"Deployed"
"540016494","2013-04-117","2013","Angle/sideswipe",4,2011,"CADILLAC","SRX","1981","Left Side","Moderate","Deployed during crash (as a result of impact)","Event# 4 11LYAW02","Deployment",26,-19.3,4,"Deployed"
"548018740","2013-13-097","2013","Rear end",1,2007,"PONTIAC","G6","1507","Front","Severe","Deployed during crash (as a result of impact)","Event# 1 12FDEW03","Deployment",11,-21.69,1,"Deployed"
"548018900","2013-13-112","2013","Rear end",1,2007,"BUICK","TERRAZA","2008","Front","Moderate","Not deployed","Event# 1 12FDEW03","Non Deployment",40,-20.37,1,"Not deployed"
"712016144","2013-08-018","2013","Angle/sideswipe",1,2012,"GMC","C, K, R, V-SERIES PICKUP","2417","Front","Unknown","Deployed during crash (as a result of impact)","Event# 2 12F99999","Deployment",21,-8.1,2,"Deployed"
"712016243","2013-08-031","2013","Head-on",2,2004,"GMC","FULLSIZE JIMMY/YUKON","2649","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FLEE02","Deployment",34,-11.78,1,"Deployed"
"717017972","2013-43-013","2013","Object off road",1,2006,"PONTIAC","TORRENT","1660","Right Side","Moderate","Deployed during crash (as a result of impact)","Event# 1 01RDAW03","Deployment",41,-13.6,1,"Deployed"
"717017973","2013-43-014","2013","Object off road",1,2008,"TOYOTA","SCION XD (< 2012)","1210","Front","Severe","Deployed during crash (as a result of impact)","Event# 2 12FYEN02","Deployment",14,-20.7,2,"Deployed"
"717017993","2013-43-018","2013","Angle/sideswipe",1,2011,"DODGE","CHARGER ('06+)","1797","Right Side","Unknown","Not deployed","Event# 1 99999999","Non Deployment",10,-9.9,1,"Not deployed"
"717018073","2013-43-033","2013","Angle/sideswipe",1,2012,"CHEVROLET","TRAVERSE ('09-'12)","2141","Left Side","Unknown","Not deployed","Event# 1 99LF9999","Non Deployment",13,-9.9,1,"Not deployed"
"717018355","2013-43-083","2013","Angle/sideswipe",2,2006,"BUICK","LACROSSE","1585","Left Side","Moderate","Not deployed","Event# 1 11LZEW02","Non Deployment",4,0,1,"Not deployed"
"717018513","2013-43-107","2013","Object off road",1,2010,"CHEVROLET","AVEO","1170","Front","Minor","Not deployed","Event# 1 99999999","Non Deployment",12,-11.4,1,"Not deployed"
"717018515","2013-43-109","2013","Object off road",1,2006,"PONTIAC","G6","1486","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FYEW01","Deployment",29,-4.74,1,"Deployed"
"971017214","2013-81-146","2013","Rear end",1,2012,"TOYOTA","TACOMA","1932","Back","Moderate","Not deployed","Event# 1 06BDEW02","Non Deployment",0,-1.7,1,"Not deployed"
"834016756","2013-48-074","2013","Angle/sideswipe",1,2013,"CHEVROLET","CRUZE","1443","Left Side","Minor","Not deployed","Event# 1 10LFEW01","Non Deployment",2,-16.8,1,"Not deployed"
"834016875","2013-48-092","2013","Rear end",1,2004,"CHEVROLET","TRAILBLAZER (2003+)","2210","Front","Moderate","Not deployed","Event# 1 12FYEW01","Non Deployment",25,-6.2,1,"Not deployed"
"498015601","2013-05-081","2013","Object off road",1,2013,"DODGE","AVENGER ('08+)","1542","Right Side","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",15,-11.8,1,"Deployed"
"498015721","2013-05-093","2013","Object off road",1,2004,"TOYOTA","CAMRY","1455","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",NA,-29.6,1,"Deployed"
"502016596","2013-09-026","2013","Object off road",1,2012,"CHEVROLET","MALIBU (1997+)","1549","Front","Moderate","Deployed during crash (as a result of impact)","Event# 2 12FCEN02","Deployment",27,-25.07,2,"Deployed"
"506016697","2013-11-024","2013","Angle/sideswipe",2,2011,"CHRYSLER","200","1804","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW01","Deployment",42,-15.5,1,"Deployed"
"506017417","2013-11-120","2013","Object off road",1,2013,"FORD","FIESTA","1169","Front","Severe","Deployed during crash (as a result of impact)","Event# 1 12FYEW05","Deployment",53,-41.12,1,"Deployed"
"510016603","2013-12-024","2013","Angle/sideswipe",1,2007,"TOYOTA","CAMRY","1570","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FZEW02","Deployment",15,-33,1,"Deployed"
"510016624","2013-12-028","2013","Rear end",1,2012,"CHEVROLET","TRAVERSE ('09-'12)","2234","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",43,-14.9,1,"Deployed"
"510016884","2013-12-074","2013","Object off road",1,2006,"CHEVROLET","MALIBU (1997+)","1500","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FLEE06","Deployment",50,-12.2,1,"Deployed"
"510016905","2013-12-078","2013","Rear end",1,2005,"CHEVROLET","COLORADO","1725","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",45,-9.3,1,"Deployed"
"834016957","2013-48-108","2013","Angle/sideswipe",1,2005,"MERCURY","MARQUIS/MONTEREY","1844","Right Side","Minor","Not deployed","Event# 1 12RFE999","Non Deployment",NA,-1.27,1,"Not deployed"
"834017176","2013-48-142","2013","Angle/sideswipe",1,2009,"CHEVROLET","EQUINOX","1723","Left Side","Moderate","Not deployed","Event# 1 10LFEW03","Deployment",14,-1.43,1,"Not deployed"
"696017624","2013-75-069","2013","Angle/sideswipe",2,2011,"JEEP / KAISER-JEEP","PATRIOT","1455","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",49,-18.5,1,"Deployed"
"727017162","2013-79-066","2013","Angle/sideswipe",2,2010,"TOYOTA","COROLLA","1325","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FYEW02","Deployment",16,-10.3,1,"Deployed"
"510017064","2013-12-102","2013","Angle/sideswipe",2,2004,"CHEVROLET","G-SERIES VAN","2410","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FLEE09","Deployment",25,-4.34,1,"Deployed"
"510017106","2013-12-111","2013","Angle/sideswipe",2,2005,"CHEVROLET","IMPALA/CAPRICE","1572","Front","Moderate","Not deployed","Event# 1 11FZEW01","Non Deployment",33,-8.06,1,"Not deployed"
"514016300","2013-45-001","2013","Rear end",1,2006,"CHEVROLET","HHR","1440","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FREE05","Deployment",30,-14.23,1,"Deployed"
"491016273","2013-02-072","2013","Angle/sideswipe",1,2009,"FORD","EDGE","1895","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FDEW01","Deployment",36,-13.52,1,"Deployed"
"514016541","2013-45-028","2013","Object off road",1,2011,"FORD","FIESTA","1160","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",27,-29.56,1,"Deployed"
"222016204","2013-08-025","2013","Angle/sideswipe",1,2004,"BUICK","CENTURY","1528","Left Side","Unknown","Not deployed","Event# 1 11LYEW02","Non Deployment",8,-5.7,1,"Not deployed"
"222016204","2013-08-025","2013","Angle/sideswipe",2,2010,"FORD","FUSION","1490","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FDEW02","Deployment",32,-15.49,1,"Deployed"
"222016223","2013-08-028","2013","Head-on",2,2010,"TOYOTA","PRIUS","1380","Front","Severe","Deployed during crash (as a result of impact)","Event# 1 12FDEW03","Deployment",24,-37.9,1,"Deployed"
"222016264","2013-08-035","2013","Object off road",1,2011,"TOYOTA","CAMRY","1500","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FRES05","Deployment",5,-19.3,1,"Deployed"
"222016283","2013-08-037","2013","Rear end",2,2012,"SCION","XD (2012 ON)","1191","Front","Minor","Deployed during crash (as a result of impact)","Event# 2 12FZEW02","Non Deployment",0,-5.4,2,"Deployed"
"222016283","2013-08-037","2013","Rear end",4,2012,"JEEP / KAISER-JEEP","PATRIOT","1411","Left Side","Minor","Not deployed","Event# 4 11LYEW01","Non Deployment",22,-3.1,4,"Not deployed"
"491015813","2013-02-018","2013","Object off road",1,2010,"TOYOTA","YARIS","1114","Left Side","Severe","Not deployed","Event# 3 00LZHO04","Non Deployment",20,-9.4,3,"Not deployed"
"717018413","2013-43-092","2013","Angle/sideswipe",1,2006,"CHEVROLET","MALIBU (1997+)","1577","Left Side","Moderate","Not deployed","Event# 1 09LZEW02","Deployment",8,-2.03,1,"Not deployed"
"718018632","2013-43-128","2013","Angle/sideswipe",2,2013,"HONDA","ACCORD","1521","Left Side","Unknown","Not deployed","Event# 1 99LYEW02","Deployment",22,-2,1,"Not deployed"
"503016996","2013-09-056","2013","Object off road",1,2011,"TOYOTA","COROLLA","1255","Left Side","Moderate","Deployed during crash (as a result of impact)","Event# 1 12LYAW02","Deployment",40,-21.7,1,"Deployed"
"503017136","2013-09-063","2013","Object off road",1,2004,"CHEVROLET","COLORADO","1702","Left Side","Severe","Not deployed","Event# 2 00LYAW99","Non Deployment",40,-19.84,2,"Not deployed"
"506016599","2013-11-009","2013","Angle/sideswipe",2,2011,"JEEP / KAISER-JEEP","LIBERTY","1936","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FYEW01","Deployment",34,-15.5,1,"Deployed"
"506016617","2013-11-010","2013","Object off road",1,2009,"PONTIAC","G6","1507","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 01FYEW02","Deployment",22,-7.45,1,"Deployed"
"506016937","2013-11-066","2013","Head-on",1,2011,"CHEVROLET","MALIBU (1997+)","1559","Top","Severe","Deployed during crash (as a result of impact)","Event# 1 12FLEE09","Deployment",70,-13.55,1,"Deployed"
"506016979","2013-11-075","2013","Object off road",1,2004,"CHEVROLET","MALIBU (1997+)","1409","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW01","Deployment",NA,-10.84,1,"Deployed"
"506017137","2013-11-096","2013","Object off road",1,2011,"JEEP / KAISER-JEEP","CHEROKEE ('84+)","2200","Top","Moderate","Not deployed","Event# 5 00TYDO03","Non Deployment",46,-14.9,5,"Not deployed"
"506017140","2013-11-099","2013","Object off road",1,2004,"CHEVROLET","IMPALA/CAPRICE","1572","Front","Moderate","Not deployed","Event# 5 12FDEW01","Non Deployment",0,-9.3,5,"Not deployed"
"510016524","2013-12-011","2013","Rear end",1,2011,"BUICK","REGAL ('11 ON)","1633","Front","Moderate","Deployed during crash (as a result of impact)","Event# 1 12FDEW02","Deployment",35,-20.5,1,"Deployed"
"510016664","2013-12-035","2013","Head-on",1,2013,"CHEVROLET","C, K, R, V-SERIES PICKUP","2985","Front","Minor","Deployed during crash (as a result of impact)","Event# 5 12FDEW99","Deployment",37,-10.6,5,"Deployed"
"510016666","2013-12-037","2013","Angle/sideswipe",1,2007,"CHEVROLET","HHR","1440","Right Side","Minor","Not deployed","Event# 1 02RFEW01","Non Deployment",12,-0.68,1,"Not deployed"
